Date,market,item,quantity_tonnes,price,temp,rainfall,humidity,wind_speed,sunshine_hours,is_holiday,holiday_name
2020-01-01,Ampara,Rice,49.28,148.61,26.3,3.4,87,13.7,10.882636111111111,0,
2020-01-01,Colombo,Red Onion,50.09,332.09,26.5,1.1,88,11.0,10.793733333333334,0,
2020-01-01,Mullaittivu,Red Onion,28.37,250.35,26.3,1.9,88,14.1,10.604875000000002,0,
2020-01-01,Nuwara Eliya,Beetroot,9.55,260.55,16.0,1.4,88,10.5,10.85155,0,
2020-01-01,Colombo,Radish,23.53,65.16,26.5,1.1,88,11.0,10.793733333333334,0,
2020-01-01,Nuwara Eliya,Red Onion,34.43,276.28,16.0,1.4,88,10.5,10.85155,0,
2020-01-01,Polonnaruwa,Rice,49.65,149.74,26.4,0.7,85,13.3,10.818544444444443,0,
2020-01-01,Moneragala,Rice,47.11,145.99,25.0,3.0,91,8.0,10.0,0,
2020-01-01,Colombo,Beetroot,15.25,278.83,26.5,1.1,88,11.0,10.793733333333334,0,
2020-01-01,Batticaloa,Red Onion,29.94,283.41,26.9,2.9,85,18.0,10.867233333333331,0,
2020-01-01,Puttalam,Rice,38.6,151.76,26.7,1.2,85,16.0,10.736386111111113,0,
2020-01-01,Thambuththegama,Beetroot,9.5,329.29,26.1,1.0,85,15.1,9.175733333333334,0,
2020-01-01,Bandarawela,Beetroot,11.43,217.66,19.3,1.2,88,9.6,10.855038888888888,0,
2020-01-01,Thambuththegama,Red Onion,38.49,293.8,26.1,1.0,85,15.1,9.175733333333334,0,
2020-01-01,Trincomalee,Red Onion,30.52,425.23,26.5,2.1,86,15.0,10.649377777777778,0,
2020-01-01,Puttalam,Red Onion,24.93,413.72,26.7,1.2,85,16.0,10.736386111111113,0,
2020-01-01,Anuradhapura,Rice,44.23,144.81,25.9,1.3,87,14.1,9.245261111111112,0,
2020-01-01,Colombo,Rice,69.03,150.0,26.5,1.1,88,11.0,10.793733333333334,0,
2020-01-01,Moneragala,Radish,12.07,83.91,25.0,3.0,91,8.0,10.0,0,
2020-01-01,Jaffna,Red Onion,34.22,277.53,26.1,0.7,89,12.6,10.636133333333332,0,
2020-01-01,Kandy,Beetroot,13.36,155.51,24.3,0.0,81,20.9,10.811513888888888,0,
2020-01-01,Kandy,Radish,17.78,57.54,24.3,0.0,81,20.9,10.811513888888888,0,
2020-01-01,Embilipitiya,Red Onion,28.89,430.91,26.4,1.2,84,16.6,10.855463888888888,0,
2020-01-01,Kandy,Red Onion,37.98,285.78,24.3,0.0,81,20.9,10.811513888888888,0,
2020-01-01,Dambulla,Rice,52.55,146.12,25.3,0.5,85,17.2,10.523947222222224,0,
2020-01-01,Moneragala,Red Onion,31.89,304.84,25.0,3.0,91,8.0,10.0,0,
2020-01-01,Kandy,Rice,48.52,165.57,24.3,0.0,81,20.9,10.811513888888888,0,
2020-01-01,Kurunegala,Rice,47.65,149.03,25.7,2.5,85,9.9,10.788358333333331,0,
2020-01-01,Mannar,Red Onion,26.07,368.65,26.7,1.3,85,20.8,10.708933333333334,0,
2020-01-01,Dambulla,Radish,18.33,51.02,25.3,0.5,85,17.2,10.523947222222224,0,
2020-01-01,Meegoda,Radish,15.75,61.75,26.1,5.7,89,8.1,10.788694444444443,0,
2020-01-01,Meegoda,Red Onion,41.3,270.76,26.1,5.7,89,8.1,10.788694444444443,0,
2020-01-01,Dambulla,Beetroot,12.13,280.92,25.3,0.5,85,17.2,10.523947222222224,0,
2020-01-01,Dambulla,Red Onion,31.47,275.22,25.3,0.5,85,17.2,10.523947222222224,0,
2020-01-01,Vavuniya,Red Onion,33.97,190.42,25.6,1.5,89,11.2,10.230227777777776,0,
2020-01-01,Mullaittivu,Red Onion,30.35,325.27,26.3,1.9,88,14.1,10.604875000000002,0,
2020-01-02,Mannar,Red Onion,28.66,369.02,27.3,0.9,82,19.1,10.702122222222222,0,
2020-01-02,Moneragala,Red Onion,28.91,304.84,24.7,8.1,92,12.1,10.769508333333334,0,
2020-01-02,Colombo,Red Onion,42.57,328.52,26.6,1.6,87,10.2,10.766941666666666,0,
2020-01-02,Mullaittivu,Red Onion,31.98,248.26,26.8,3.5,85,16.2,10.75645277777778,0,
2020-01-02,Bandarawela,Beetroot,11.62,223.2,19.6,3.5,92,12.2,10.840352777777778,0,
2020-01-02,Kandy,Red Onion,39.46,283.78,24.3,0.5,82,22.2,10.804494444444444,0,
2020-01-02,Jaffna,Red Onion,35.23,276.34,26.7,1.8,85,18.8,10.693397222222224,0,
2020-01-02,Meegoda,Radish,15.87,62.29,26.1,5.6,88,8.1,10.779697222222223,0,
2020-01-02,Ampara,Rice,46.45,149.19,26.3,5.6,89,12.2,9.672188888888888,0,
2020-01-02,Dambulla,Radish,15.93,53.62,25.1,3.8,88,18.7,10.443641666666666,0,
2020-01-02,Batticaloa,Red Onion,31.76,282.5,26.7,5.3,88,15.9,10.564622222222225,0,
2020-01-02,Colombo,Radish,20.53,64.82,26.6,1.6,87,10.2,10.766941666666666,0,
2020-01-02,Kandy,Radish,17.75,57.52,24.3,0.5,82,22.2,10.804494444444444,0,
2020-01-02,Moneragala,Radish,10.48,85.61,24.7,8.1,92,12.1,10.769508333333334,0,
2020-01-02,Dambulla,Beetroot,12.14,283.05,25.1,3.8,88,18.7,10.443641666666666,0,
2020-01-02,Kandy,Beetroot,14.89,155.62,24.3,0.5,82,22.2,10.804494444444444,0,
2020-01-02,Embilipitiya,Red Onion,26.87,437.61,26.3,2.3,86,19.0,10.848338888888888,0,
2020-01-02,Colombo,Beetroot,14.3,272.44,26.6,1.6,87,10.2,10.766941666666666,0,
2020-01-02,Thambuththegama,Red Onion,26.21,292.62,26.2,2.5,86,16.1,10.757575,0,
2020-01-02,Nuwara Eliya,Beetroot,10.93,262.29,16.2,1.8,93,15.1,10.663008333333334,0,
2020-01-02,Trincomalee,Red Onion,28.02,435.62,26.6,4.9,86,14.2,10.099433333333334,0,
2020-01-02,Nuwara Eliya,Red Onion,32.14,272.22,16.2,1.8,93,15.1,10.663008333333334,0,
2020-01-02,Kandy,Rice,46.53,165.66,24.3,0.5,82,22.2,10.804494444444444,0,
2020-01-02,Puttalam,Rice,44.8,151.44,26.9,2.2,85,17.1,10.729458333333334,0,
2020-01-02,Mullaittivu,Red Onion,27.44,325.2,26.8,3.5,85,16.2,10.75645277777778,0,
2020-01-02,Vavuniya,Red Onion,31.24,190.43,25.7,3.9,88,15.9,10.754291666666663,0,
2020-01-02,Colombo,Rice,62.35,150.28,26.6,1.6,87,10.2,10.766941666666666,0,
2020-01-02,Thambuththegama,Beetroot,9.17,339.85,26.2,2.5,86,16.1,10.757575,0,
2020-01-02,Dambulla,Rice,50.26,146.21,25.1,3.8,88,18.7,10.443641666666666,0,
