Date,item,market,price_per_kg,year,week,source,temp_max,temp_min,temp_mean,precipitation_mm,rain_mm,humidity_max,humidity_min,solar_radiation_mj,wind_max_kmh
2026-01-12,Rice_Samba,Colombo,277.5,2026,2,HARTI,32.0,21.2,25.7,22.4,22.4,99.0,39.0,141.75,20.9
2026-01-12,Rice_Samba,Dambulla,267.5,2026,2,HARTI,28.1,18.9,23.442857142857143,7.6000000000000005,7.6000000000000005,99.0,58.0,133.01,20.7
2026-01-12,Rice_Samba,Anuradhapura,282.5,2026,2,HARTI,29.1,19.1,24.114285714285717,24.8,24.8,99.0,57.0,125.61,20.6
2026-01-12,Rice_Samba,Thambuththegama,280.0,2026,2,HARTI,28.9,18.8,24.142857142857142,30.0,30.0,99.0,56.0,129.72,22.0
2026-01-12,Rice_Samba,Kaluthara,285.0,2026,2,HARTI,30.0,21.1,24.928571428571427,15.9,15.9,100.0,55.0,144.51,21.5
2026-01-12,Rice_Samba,Badulla,280.0,2026,2,HARTI,26.2,15.7,20.642857142857142,16.1,16.1,100.0,60.0,130.75,13.5
2026-01-12,Rice_Samba,Nuwara Eliya,272.5,2026,2,HARTI,21.5,7.9,13.942857142857145,13.9,13.9,100.0,38.0,146.12,12.7
2026-01-12,Rice_Samba,Kegalle,280.0,2026,2,HARTI,,,,,,,,,
2026-01-12,Rice_Samba,Dehiattakandiya,285.0,2026,2,HARTI,29.3,19.0,23.957142857142856,22.2,22.2,100.0,57.0,130.76,17.6
2026-01-12,Rice_Samba,Nuwara Eliya,275.0,2026,2,HARTI,21.5,7.9,13.942857142857145,13.9,13.9,100.0,38.0,146.12,12.7
2026-01-12,Rice_Samba,Kandy,275.0,2026,2,HARTI,29.1,17.4,22.74285714285714,2.0,2.0,100.0,44.0,144.51,16.0
2026-01-12,Rice_Samba,Puttalam,277.5,2026,2,HARTI,30.0,19.2,24.75714285714286,17.6,17.6,98.0,53.0,131.79,21.5
2026-01-12,Rice_Samba,Rathnapura,277.5,2026,2,HARTI,,,,,,,,,
2026-01-12,Rice_Samba,Galle,275.0,2026,2,HARTI,30.6,21.3,25.25714285714286,16.0,16.0,99.0,61.0,143.55,15.5
2026-01-12,Rice_Samba,Batticaloa,265.0,2026,2,HARTI,28.7,20.9,25.5,32.2,32.2,99.0,55.0,141.85,20.7
2026-01-12,Rice_Samba,Gampaha,240.0,2026,2,HARTI,,,,,,,,,
2026-01-12,Rice_Samba,Kurunegala,240.0,2026,2,HARTI,30.4,18.4,24.3,14.4,14.4,100.0,48.0,145.01,21.6
2026-01-12,Rice_Samba,Dambulla,245.0,2026,2,HARTI,28.1,18.9,23.442857142857143,7.6000000000000005,7.6000000000000005,99.0,58.0,133.01,20.7
2026-01-12,Rice_Samba,Anuradhapura,242.5,2026,2,HARTI,29.1,19.1,24.114285714285717,24.8,24.8,99.0,57.0,125.61,20.6
2026-01-12,Rice_Samba,Thambuththegama,240.0,2026,2,HARTI,28.9,18.8,24.142857142857142,30.0,30.0,99.0,56.0,129.72,22.0
2026-01-12,Rice_Samba,Moneragala,242.5,2026,2,HARTI,30.4,19.8,24.271428571428572,16.0,16.0,98.0,46.0,134.93,21.3
2026-01-12,Rice_Samba,Ampara,245.0,2026,2,HARTI,28.8,20.6,24.585714285714285,31.5,31.5,99.0,57.0,135.56,19.8
2026-01-12,Rice_Samba,Kandy,252.5,2026,2,HARTI,29.1,17.4,22.74285714285714,2.0,2.0,100.0,44.0,144.51,16.0
2026-01-12,Rice_Samba,Puttalam,255.0,2026,2,HARTI,30.0,19.2,24.75714285714286,17.6,17.6,98.0,53.0,131.79,21.5
