Date,item,market,price_per_kg,year,week,source,temp_max,temp_min,temp_mean,precipitation_mm,rain_mm,humidity_max,humidity_min,solar_radiation_mj,wind_max_kmh
2025-12-15,Rice_Samba,Colombo,270.0,2025,50,HARTI,30.1,22.7,25.900000000000002,32.4,32.4,98.0,60.0,123.88,22.8
2025-12-15,Rice_Samba,Nikaweratiya,262.5,2025,50,HARTI,29.5,21.0,24.82857142857143,34.5,34.5,96.0,68.0,121.19,24.8
2025-12-15,Rice_Samba,Dambulla,265.0,2025,50,HARTI,28.0,20.8,23.571428571428573,37.1,37.1,100.0,71.0,99.21000000000001,23.2
2025-12-15,Rice_Samba,Anuradhapura,272.5,2025,50,HARTI,28.6,21.0,24.514285714285712,28.900000000000002,28.900000000000002,98.0,66.0,108.65,23.2
2025-12-15,Rice_Samba,Thambuththegama,270.0,2025,50,HARTI,28.6,20.9,24.614285714285717,27.5,27.5,97.0,68.0,113.2,26.5
2025-12-15,Rice_Samba,Kaluthara,275.0,2025,50,HARTI,29.9,21.9,25.25714285714286,35.3,35.3,99.0,62.0,118.04,18.9
2025-12-15,Rice_Samba,Nuwara Eliya,267.5,2025,50,HARTI,20.0,11.4,15.0,63.7,63.7,100.0,56.0,105.65,16.8
2025-12-15,Rice_Samba,Kegalle,270.0,2025,50,HARTI,,,,,,,,,
2025-12-15,Rice_Samba,Dehiattakandiya,275.0,2025,50,HARTI,29.1,21.9,23.785714285714285,143.8,143.8,100.0,68.0,81.02,16.0
2025-12-15,Rice_Samba,Nuwara Eliya,260.0,2025,50,HARTI,20.0,11.4,15.0,63.7,63.7,100.0,56.0,105.65,16.8
2025-12-15,Rice_Samba,Kandy,275.0,2025,50,HARTI,28.8,20.4,23.414285714285715,20.3,20.3,99.0,54.0,114.26,19.5
2025-12-15,Rice_Samba,Puttalam,277.5,2025,50,HARTI,30.0,21.1,25.228571428571428,37.2,37.2,96.0,61.0,116.25,23.5
2025-12-15,Rice_Samba,Rathnapura,272.5,2025,50,HARTI,,,,,,,,,
2025-12-15,Rice_Samba,Matara,267.5,2025,50,HARTI,30.5,21.0,25.47142857142857,32.4,32.4,99.0,66.0,124.26,19.1
2025-12-15,Rice_Samba,Matale,280.0,2025,50,HARTI,30.2,20.9,23.814285714285713,22.0,22.0,100.0,59.0,108.28,17.1
2025-12-15,Rice_Samba,Gampaha,240.0,2025,50,HARTI,,,,,,,,,
2025-12-15,Rice_Samba,Kurunegala,240.0,2025,50,HARTI,30.1,21.7,24.771428571428572,17.7,17.7,100.0,65.0,121.55,21.7
2025-12-15,Rice_Samba,Dambulla,242.5,2025,50,HARTI,28.0,20.8,23.571428571428573,37.1,37.1,100.0,71.0,99.21000000000001,23.2
