Temperature,PH,Nitrogen,Phosphorous,Potassium,Soil,Crop,Growth_Stage,Fertilizer_Type,Fertilizer_per_acre
26.06,6.81,66,91,73,Sandy loam,Radish,Vegetative,Urea,23
29.24,6.98,73,32,57,Sandy loam,Beetroot,Flowering,NPK 15-15-15,42
25.42,6.91,131,56,57,Clay,Beetroot,Germination,NPK 15-15-15,26
29.79,5.83,59,103,147,Loam,Red onion,Vegetative,NPK 15-15-15,31
34.81,6.46,63,32,139,Sandy loam,Beetroot,Vegetative,NPK 15-15-15,49
34.19,7.16,152,76,55,Clay,Rice,Flowering,Urea,24
30.50,7.02,71,112,156,Loam,Radish,Germination,DAP,19
25.61,6.32,74,52,149,Sandy loam,Radish,Vegetative,Urea,21
26.36,6.94,103,26,95,Loam,Beetroot,Flowering,NPK 15-15-15,48
31.86,7.14,36,35,103,Clay,Beetroot,Germination,NPK 15-15-15,26
25.07,6.48,133,62,110,Clay,Rice,Vegetative,Urea,41
28.57,6.59,125,55,62,Sandy loam,Beetroot,Vegetative,Urea,47
31.89,6.62,22,105,149,Sandy loam,Red onion,Germination,DAP,21
30.88,6.28,64,99,90,Clay,Rice,Vegetative,Urea,39
26.58,6.39,88,131,159,Clay,Rice,Vegetative,Urea,43
29.36,7.13,40,149,36,Clay,Rice,Germination,DAP,23
30.08,6.45,63,123,36,Loam,Rice,Flowering,Urea,22
27.30,6.53,56,141,69,Clay,Beetroot,Germination,NPK 15-15-15,31
27.95,6.18,129,51,63,Clay,Red onion,Germination,DAP,23
30.48,6.06,74,136,30,Loam,Radish,Flowering,NPK 15-15-15,24
28.87,5.85,115,54,134,Sandy loam,Rice,Vegetative,Urea,44
28.31,6.12,34,118,139,Loam,Radish,Flowering,NPK 15-15-15,29
34.33,6.36,20,103,37,Loam,Beetroot,Flowering,NPK 15-15-15,43
29.85,6.33,25,37,60,Sandy loam,Radish,Flowering,NPK 15-15-15,23
28.31,6.27,100,55,150,Sandy loam,Red onion,Vegetative,NPK 15-15-15,34
28.50,6.16,48,90,127,Sandy loam,Beetroot,Flowering,NPK 15-15-15,45
25.07,6.66,23,22,105,Loam,Radish,Flowering,NPK 15-15-15,21
24.97,6.09,62,148,28,Sandy loam,Beetroot,Flowering,NPK 15-15-15,40
26.15,6.33,115,24,101,Sandy loam,Radish,Flowering,NPK 15-15-15,29
35.13,6.57,48,123,84,Loam,Red onion,Germination,DAP,20
33.25,6.71,49,159,114,Sandy loam,Rice,Flowering,Urea,29
33.67,7.10,100,152,152,Loam,Beetroot,Flowering,NPK 15-15-15,44
25.96,6.30,153,72,159,Loam,Rice,Vegetative,Urea,42
31.10,7.19,144,110,58,Clay,Beetroot,Germination,NPK 15-15-15,29
24.68,6.54,65,127,61,Clay,Rice,Flowering,Urea,24
28.02,6.32,92,92,128,Sandy loam,Beetroot,Vegetative,Urea,44
34.55,6.85,30,49,93,Loam,Red onion,Vegetative,NPK 15-15-15,34
24.20,7.28,80,125,107,Loam,Beetroot,Germination,NPK 15-15-15,31
31.32,6.01,43,158,153,Clay,Red onion,Flowering,Urea,27
31.34,6.13,90,140,90,Sandy loam,Rice,Germination,DAP,27
27.04,6.60,74,62,110,Clay,Red onion,Germination,DAP,22
25.36,6.82,74,37,36,Sandy loam,Red onion,Flowering,Urea,29
32.20,6.98,90,104,21,Loam,Radish,Flowering,NPK 15-15-15,28
31.27,6.96,76,46,118,Clay,Red onion,Vegetative,NPK 15-15-15,34
34.74,6.95,36,59,101,Loam,Rice,Flowering,Urea,27
28.87,6.86,42,141,101,Clay,Rice,Vegetative,Urea,43
26.29,7.23,158,83,110,Sandy loam,Red onion,Germination,DAP,23
30.93,6.85,130,130,58,Sandy loam,Red onion,Flowering,Urea,28
32.30,6.81,103,159,151,Clay,Red onion,Germination,DAP,22
28.33,6.55,41,23,116,Loam,Red onion,Flowering,Urea,27
29.29,6.51,125,101,69,Sandy loam,Rice,Flowering,Urea,32
34.47,6.72,47,86,79,Sandy loam,Rice,Germination,NPK 15-15-15,23
26.31,6.52,36,40,34,Clay,Rice,Vegetative,Urea,41
24.28,6.32,118,48,145,Clay,Beetroot,Flowering,NPK 15-15-15,51
31.32,7.25,136,36,32,Loam,Rice,Flowering,Urea,34
32.73,7.00,146,152,129,Clay,Beetroot,Vegetative,NPK 15-15-15,40
33.19,6.81,147,63,45,Clay,Beetroot,Flowering,NPK 15-15-15,52
28.98,6.10,102,89,150,Clay,Rice,Germination,NPK 15-15-15,22
35.30,7.12,157,69,60,Sandy loam,Red onion,Flowering,Urea,24
25.76,6.77,60,94,138,Sandy loam,Beetroot,Vegetative,NPK 15-15-15,39
27.36,5.82,63,79,155,Sandy loam,Rice,Vegetative,Urea,43
25.59,6.97,81,136,77,Clay,Rice,Vegetative,Urea,41
27.88,6.85,158,62,97,Loam,Beetroot,Germination,NPK 15-15-15,26
26.99,6.05,30,100,140,Loam,Red onion,Germination,DAP,21
28.66,7.17,138,84,53,Sandy loam,Radish,Flowering,NPK 15-15-15,33
35.08,6.02,38,37,106,Sandy loam,Radish,Germination,DAP,20
32.75,7.13,127,35,142,Sandy loam,Beetroot,Vegetative,Urea,52
27.32,6.64,96,105,134,Loam,Red onion,Vegetative,NPK 15-15-15,32
32.94,6.74,78,25,21,Clay,Red onion,Germination,DAP,18
28.25,6.71,34,99,91,Sandy loam,Beetroot,Germination,NPK 15-15-15,31
25.37,6.19,79,71,55,Loam,Radish,Germination,DAP,19
33.94,5.97,28,79,81,Clay,Beetroot,Germination,NPK 15-15-15,28
34.57,6.78,114,78,126,Loam,Beetroot,Flowering,NPK 15-15-15,57
34.01,7.10,124,153,148,Sandy loam,Radish,Vegetative,Urea,21
27.16,6.82,142,109,58,Loam,Red onion,Vegetative,NPK 15-15-15,26
30.28,6.45,144,127,117,Clay,Radish,Germination,DAP,18
33.30,7.00,56,90,119,Loam,Beetroot,Germination,NPK 15-15-15,31
