Date,market,item,price,volume_MT
2022-01-01,Colombo,Rice,230.96,51.87
2022-01-02,Colombo,Rice,207.48,18.13
2022-01-03,Colombo,Rice,236.54,39.17
2022-01-04,Colombo,Rice,268.91,58.39
2022-01-05,Colombo,Rice,203.94,49.7
2022-01-06,Colombo,Rice,203.94,50.63
2022-01-07,Colombo,Rice,279.49,52.17
2022-01-08,Colombo,Rice,249.47,45.53
2022-01-09,Colombo,Rice,203.74,38.46
2022-01-10,Colombo,Rice,241.16,34.87
2022-01-11,Colombo,Rice,210.34,60.17
2022-01-12,Colombo,Rice,210.26,51.9
2022-01-13,Colombo,Rice,236.42,45.98
2022-01-14,Colombo,Rice,163.11,41.56
2022-01-15,Colombo,Rice,148.82,36.02
2022-01-16,Colombo,Rice,191.8,41.89
2022-01-17,Colombo,Rice,175.14,32.6
2022-01-18,Colombo,Rice,224.21,52.54
2022-01-19,Colombo,Rice,179.02,63.37
2022-01-20,Colombo,Rice,160.37,45.78
2022-01-21,Colombo,Rice,266.79,45.29
2022-01-22,Colombo,Rice,204.25,49.01
2022-01-23,Colombo,Rice,215.09,35.15
2022-01-24,Colombo,Rice,159.91,44.91
2022-01-25,Colombo,Rice,192.46,61.74
2022-01-26,Colombo,Rice,216.69,54.66
2022-01-27,Colombo,Rice,170.03,60.87
2022-01-28,Colombo,Rice,226.48,48.66
2022-01-29,Colombo,Rice,190.38,52.24
2022-01-30,Colombo,Rice,201.81,33.42
2022-01-31,Colombo,Rice,190.34,28.23
2022-02-01,Colombo,Rice,249.19,118.06
2022-02-02,Colombo,Rice,180.2,107.98
2022-02-03,Colombo,Rice,141.59,100.27
2022-02-04,Colombo,Rice,211.12,99.96
2022-02-05,Colombo,Rice,135.56,77.41
2022-02-06,Colombo,Rice,188.43,59.74
2022-02-07,Colombo,Rice,108.24,73.53
2022-02-08,Colombo,Rice,131.59,92.06
2022-02-09,Colombo,Rice,187.98,96.73
2022-02-10,Colombo,Rice,208.01,98.43
2022-02-11,Colombo,Rice,187.04,89.76
2022-02-12,Colombo,Rice,176.43,85.48
2022-02-13,Colombo,Rice,169.57,53.07
2022-02-14,Colombo,Rice,126.03,68.46
2022-02-15,Colombo,Rice,154.09,109.28
2022-02-16,Colombo,Rice,163.67,75.35
2022-02-17,Colombo,Rice,219.79,99.64
2022-02-18,Colombo,Rice,193.41,104.22
2022-02-19,Colombo,Rice,115.51,85.16
2022-02-20,Colombo,Rice,192.68,84.93
2022-02-21,Colombo,Rice,166.46,65.95
2022-02-22,Colombo,Rice,155.67,98.48
2022-02-23,Colombo,Rice,203.32,97.58
2022-02-24,Colombo,Rice,218.82,73.44
2022-02-25,Colombo,Rice,215.13,115.13
2022-02-26,Colombo,Rice,149.67,85.67
2022-02-27,Colombo,Rice,169.27,67.52
2022-02-28,Colombo,Rice,192.95,76.28
2022-03-01,Colombo,Rice,216.77,121.91
2022-03-02,Colombo,Rice,162.98,83.8
2022-03-03,Colombo,Rice,173.83,93.3
2022-03-04,Colombo,Rice,139.79,120.74
2022-03-05,Colombo,Rice,136.47,106.96
2022-03-06,Colombo,Rice,210.74,77.05
2022-03-07,Colombo,Rice,230.85,58.96
2022-03-08,Colombo,Rice,178.04,94.31
2022-03-09,Colombo,Rice,217.8,97.48
2022-03-10,Colombo,Rice,194.07,87.13
2022-03-11,Colombo,Rice,156.85,74.88
2022-03-12,Colombo,Rice,194.06,92.34
2022-03-13,Colombo,Rice,237.57,84.22
2022-03-14,Colombo,Rice,179.37,70.62
2022-03-15,Colombo,Rice,238.55,120.61
2022-03-16,Colombo,Rice,83.83,102.69
2022-03-17,Colombo,Rice,211.09,88.53
2022-03-18,Colombo,Rice,183.92,119.16
2022-03-19,Colombo,Rice,169.64,103.18
2022-03-20,Colombo,Rice,184.09,80.1
2022-03-21,Colombo,Rice,107.21,58.78
2022-03-22,Colombo,Rice,172.57,115.58
2022-03-23,Colombo,Rice,193.9,116.03
2022-03-24,Colombo,Rice,235.34,104.35
2022-03-25,Colombo,Rice,161.53,87.9
2022-03-26,Colombo,Rice,150.8,99.31
2022-03-27,Colombo,Rice,162.14,76.42
2022-03-28,Colombo,Rice,214.54,72.46
2022-03-29,Colombo,Rice,192.85,109.02
2022-03-30,Colombo,Rice,161.11,115.18
2022-03-31,Colombo,Rice,199.67,90.27
2022-04-01,Colombo,Rice,220.43,41.34
2022-04-02,Colombo,Rice,252.65,49.72
2022-04-03,Colombo,Rice,190.88,33.27
2022-04-04,Colombo,Rice,204.72,39.13
2022-04-05,Colombo,Rice,202.34,41.94
2022-04-06,Colombo,Rice,162.72,57.65
2022-04-07,Colombo,Rice,258.14,66.89
2022-04-08,Colombo,Rice,256.85,55.6
2022-04-09,Colombo,Rice,247.38,56.11
2022-04-10,Colombo,Rice,238.52,34.44
2022-04-11,Colombo,Rice,217.63,38.45
2022-04-12,Colombo,Rice,254.41,56.14
2022-04-13,Colombo,Rice,257.29,72.74
2022-04-14,Colombo,Rice,263.07,63.31
2022-04-15,Colombo,Rice,275.93,49.7
2022-04-16,Colombo,Rice,231.78,51.92
2022-04-17,Colombo,Rice,286.58,39.34
2022-04-18,Colombo,Rice,223.29,34.87
2022-04-19,Colombo,Rice,226.36,61.02
2022-04-20,Colombo,Rice,214.08,55.83
2022-04-21,Colombo,Rice,145.89,42.13
2022-04-22,Colombo,Rice,215.85,45.86
2022-04-23,Colombo,Rice,219.06,51.7
2022-04-24,Colombo,Rice,299.0,26.25
2022-04-25,Colombo,Rice,209.72,36.77
2022-04-26,Colombo,Rice,227.98,36.79
2022-04-27,Colombo,Rice,215.55,57.68
2022-04-28,Colombo,Rice,173.62,56.8
2022-04-29,Colombo,Rice,259.09,53.79
2022-04-30,Colombo,Rice,244.64,44.93
2022-05-01,Colombo,Rice,246.08,35.89
2022-05-02,Colombo,Rice,183.21,32.3
2022-05-03,Colombo,Rice,268.7,42.27
2022-05-04,Colombo,Rice,165.0,47.46
2022-05-05,Colombo,Rice,238.53,55.24
2022-05-06,Colombo,Rice,297.83,50.33
2022-05-07,Colombo,Rice,180.21,60.88
2022-05-08,Colombo,Rice,195.89,39.02
